127.0.0.1 - - [12/Dec/2023:16:25:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:25:50 +0900] "GET /checkCheaper/ HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:25:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:00 +0900] "GET /checkCheaper/login_process.jsp?i_id=mbr0&i_pw=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:00 +0900] "GET /checkCheaper/dash.jsp?flag=0 HTTP/1.1" 200 6061
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:00 +0900] "GET /checkCheaper/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:02 +0900] "GET /checkCheaper/order_history.jsp HTTP/1.1" 200 12375
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:21 +0900] "GET /checkCheaper/dash.jsp?flag=0 HTTP/1.1" 200 6061
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:23 +0900] "GET /checkCheaper/login.jsp HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:27 +0900] "GET /checkCheaper/login_process.jsp?i_id=mbr1&i_pw=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:27 +0900] "GET /checkCheaper/dash.jsp?flag=0 HTTP/1.1" 200 6061
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:31 +0900] "GET /checkCheaper/order_history.jsp HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:56 +0900] "GET /checkCheaper/dash.jsp?flag=0 HTTP/1.1" 200 6061
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:57 +0900] "POST /checkCheaper/dash_section_input_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:26:57 +0900] "GET /checkCheaper/dash.jsp?flag=1 HTTP/1.1" 200 161697
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:10 +0900] "POST /checkCheaper/dash_section_input_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:10 +0900] "GET /checkCheaper/dash.jsp?flag=1 HTTP/1.1" 200 7920
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:23 +0900] "POST /checkCheaper/dash_section_input_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:23 +0900] "GET /checkCheaper/dash.jsp?flag=1 HTTP/1.1" 200 44104
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:30 +0900] "GET /checkCheaper/dash_arrange_process.jsp?btnFlag=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:30 +0900] "GET /checkCheaper/dash.jsp?flag=1 HTTP/1.1" 200 44104
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:41 +0900] "GET /checkCheaper/dash_arrange_process.jsp?btnFlag=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:16:27:41 +0900] "GET /checkCheaper/dash.jsp?flag=1 HTTP/1.1" 200 44104
